Energy Scale (GeV),QFT Cutoff (GeV),QED Cutoff (GeV),MF Theory Cutoff (GeV)
100.0,124.77685644868579,124.9983712149539,124.78713258898287
148.4968262254465,125.17224984849285,125.00125729816418,125.16363638529253
220.51307399030455,125.5676432482999,125.00414338137445,125.53701346278997
327.45491628777285,125.96303664810696,125.00702946458472,125.90726382147518
486.26015800653533,126.35843004791403,125.00991554779499,126.2743874613482
722.0809018385464,126.75382344772109,125.01280163100526,126.63838438240897
1072.2672220103232,127.14921684752814,125.01568771421553,126.99925458465754
1592.2827933410922,127.5446102473352,125.0185737974258,127.35699806809387
2364.4894126454074,127.94000364714226,125.02145988063607,127.711614832718
3511.191734215131,128.3353970469493,125.02434596384634,128.0631048785299
5214.008287999684,128.73079044675637,125.02723204705661,128.4114682055296
7742.63682681127,129.12618384656344,125.03011813026689,128.75670481371705
11497.569953977356,129.5215772463705,125.03300421347716,129.0988147030923
17073.526474706887,129.91697064617756,125.03589029668743,129.4377978736553
25353.644939701113,130.3123640459846,125.0387763798977,129.7736543254061
37649.35806792471,130.70775744579166,125.04166246310797,130.1063840583447
55908.10182512223,131.10315084559872,125.04454854631824,130.43598707247108
83021.75681319735,131.49854424540578,125.04743462952851,130.76246336778522
123284.67394420659,131.89393764521284,125.05032071273878,131.08581294428714
183073.82802953696,132.2893310450199,125.05320679594905,131.40603580197686
271858.824273294,132.68472444482697,125.05609287915932,131.72313194085433
403701.72585965495,133.080117844634,125.0589789623696,132.0371013609196
599484.2503189408,133.47551124444107,125.06186504557986,132.34794406217264
890215.0854450393,133.87090464424813,125.06475112879014,132.65566004461348
1321941.1484660287,134.2662980440552,125.0676372120004,132.96024930824208
1963040.6500402684,134.66169144386225,125.07052329521068,133.26171185305847
2915053.062825176,135.05708484366932,125.07340937842095,133.56004767906265
4328761.281083061,135.45247824347638,125.07629546163122,133.85525678625459
6428073.117284319,135.8478716432834,125.07918154484149,134.1473391746343
9545484.566618327,136.24326504309047,125.08206762805176,134.43629484420183
14174741.629268048,136.63865844289754,125.08495371126203,134.72212379495713
21049041.44512022,137.0340518427046,125.0878397944723,135.0048260269002
31257158.496882353,137.42944524251166,125.09072587768257,135.28440154003104
46415888.33612773,137.82483864231872,125.09361196089284,135.56085033434968
68926121.04349695,138.2202320421258,125.09649804410311,135.83417240985608
102353102.1899027,138.61562544193282,125.09938412731339,136.10436776655027
151991108.2952933,139.01101884173988,125.10227021052364,136.37143640443225
225701971.9633917,139.40641224154695,125.10515629373391,136.635378323502
335160265.09388477,139.801805641354,125.10804237694418,136.89619352375954
497702356.4332114,140.19719904116107,125.11092846015445,137.15388200520485
739072203.3525776,140.59259244096813,125.11381454336473,137.40844376783792
1097498765.4930546,140.9879858407752,125.116700626575,137.6598788116588
1629750834.62064,141.38337924058223,125.11958670978527,137.90818713666746
2420128264.7943835,141.7787726403893,125.12247279299554,138.1533687428639
3593813663.8046255,142.17416604019635,125.12535887620581,138.3954236302481
5336699231.206302,142.56955944000342,125.12824495941608,138.6343517988201
7924828983.539186,142.96495283981048,125.13113104262635,138.87015324857987
11768119524.34999,143.36034623961754,125.13401712583662,139.10282797952743
17475284000.076828,143.75573963942458,125.13690320904689,139.3323759916628
25950242113.99732,144.15113303923164,125.13978929225716,139.5587972849859
38535285937.105194,144.5465264390387,125.14267537546743,139.78209185949677
57223676593.502205,144.94191983884576,125.1455614586777,140.00225971519546
84975343590.86438,145.33731323865283,125.14844754188798,140.21930085208191
126185688306.60184,145.7327066384599,125.15133362509825,140.43321527015615
187381742286.0387,146.12810003826695,125.15421970830852,140.64400296941818
278255940220.7126,146.523493438074,125.15710579151879,140.85166394986797
413201240011.53345,146.91888683788105,125.15999187472906,141.05619821150555
613590727341.3163,147.3142802376881,125.16287795793933,141.2576057543309
911162756115.4868,147.70967363749517,125.1657640411496,141.45588657834404
1353047774579.8076,148.10506703730223,125.16865012435987,141.65104068354498
2009233002565.046,148.5004604371093,125.17153620757014,141.84306806993365
2983647240283.334,148.89585383691636,125.17442229078041,142.03196873751014
4430621457583.887,149.29124723672342,125.17730837399068,142.2177426862744
6579332246575.683,149.68664063653046,125.18019445720095,142.40038991622643
9770099572992.246,150.08203403633752,125.18308054041123,142.57991042736626
14508287784959.373,150.47742743614458,125.1859666236215,142.75630421969385
21544346900318.777,150.87282083595164,125.18885270683177,142.92957129320925
31992671377973.844,151.2682142357587,125.19173879004204,143.09971164791241
47508101621027.93,151.66360763556577,125.19462487325231,143.26672528380334
70548023107186.31,152.05900103537283,125.19751095646258,143.43061220088208
104761575278966.62,152.45439443517986,125.20039703967285,143.59137239914855
155567614393047.22,152.84978783498693,125.20328312288312,143.74900587860284
231012970008315.8,153.245181234794,125.20616920609339,143.90351263924492
343046928631491.2,153.64057463460105,125.20905528930366,144.05489268107476
509413801481636.5,154.0359680344081,125.21194137251393,144.2031460040924
756463327554629.0,154.43136143421518,125.2148274557242,144.34827260829778
1123324032978026.5,154.8267548340222,125.21771353893448,144.49027249369098
1668100537200055.8,155.22214823382927,125.22059962214473,144.62914566027194
2477076355991714.0,155.61754163363634,125.223485705355,144.76489210804067
3678379771828634.5,156.0129350334434,125.22637178856527,144.8975118369972
5462277217684337.0,156.40832843325046,125.22925787177554,145.0270048471415
8111308307896856.0,156.80372183305752,125.23214395498582,145.1533711384736
1.2045035402587786e+16,157.19911523286459,125.23503003819609,145.27661071099345
1.7886495290574352e+16,157.59450863267165,125.23791612140636,145.39672356470112
2.6560877829466732e+16,157.98990203247868,125.24080220461663,145.51370969959652
3.944206059437648e+16,158.38529543228574,125.2436882878269,145.62756911567973
5.857020818056674e+16,158.7806888320928,125.24657437103717,145.73830181295074
8.697490026177798e+16,159.17608223189987,125.24946045424744,145.8459077914095
1.2915496650148827e+17,159.57147563170693,125.25234653745771,145.95038705105605
1.9179102616724928e+17,159.966869031514,125.25523262066798,146.05173959189037
2.8480358684357933e+17,160.36226243132103,125.25811870387825,146.14996541391247
4.229242874389499e+17,160.7576558311281,125.26100478708852,146.24506451712236
6.280291441834272e+17,161.15304923093515,125.2638908702988,146.33703690152004
9.32603346883218e+17,161.54844263074222,125.26677695350907,146.42588256710548
1.3848863713938747e+18,161.94383603054928,125.26966303671934,146.51160151387873
